url_length,dot_count,has_hyphen,has_https,has_suspicious,has_typo,safe_brand_present,has_risky_tld,is_http,entropy,has_at_symbol,domain_age_days,label
30,2,0,0,0,0,0,0,0,3.224781475107716,0,2563,0
36,3,1,1,0,0,0,0,0,3.099375670290947,0,1157,0
19,2,0,1,0,0,0,0,0,3.6991381482240677,0,1397,0
24,3,0,1,0,0,0,0,0,3.875683073290557,0,2780,0
23,2,0,1,0,0,0,0,0,3.3671919287310486,0,1574,0
33,1,0,1,0,0,1,0,0,2.94629415674225,0,1689,0
30,1,1,1,0,0,0,0,0,3.5874022354584207,0,356,0
36,2,0,0,0,0,0,0,1,2.5216406363433186,0,10,1
25,2,0,1,0,0,0,0,0,3.837332499474072,0,822,0
24,1,0,1,0,0,0,0,0,2.6437941265614557,0,502,0
34,2,0,1,0,0,0,0,0,3.2421012845045216,0,1901,0
45,2,0,1,0,0,0,0,0,1.2516291673878228,0,7,1
19,2,0,1,0,0,0,0,0,3.7176784352047325,0,1320,0
37,2,0,1,0,0,0,0,0,2.9033377092231456,0,540,0
16,1,0,1,0,0,1,0,0,3.6020997750961503,0,3359,0
29,1,0,1,0,0,0,0,0,2.885048511692223,0,2713,0
26,1,0,1,0,0,1,0,0,3.5020572739292986,0,2552,0
33,1,1,1,0,0,0,0,0,3.3323387729129914,0,2481,0
37,2,0,1,0,0,0,0,0,2.9477027792200903,0,19,1
15,3,1,1,0,0,0,0,0,3.7804485584964853,0,1172,0
37,2,0,1,0,0,0,0,0,2.9735155743720085,0,785,0
28,2,0,1,0,0,0,0,0,3.376645507411471,0,1378,0
33,1,0,1,0,0,0,0,0,3.185414436584049,0,3334,0
34,1,0,1,0,0,0,0,0,3.5972090927777955,0,1028,0
20,1,0,1,0,0,0,0,0,3.195958864535169,0,2531,0
23,1,0,1,0,0,0,0,0,2.7219280948873625,0,13,1
51,1,0,1,0,0,0,0,0,3.4000184893712833,0,131,0
21,1,0,1,0,0,0,0,0,3.435492797169524,0,1844,0
23,2,0,1,0,0,0,0,0,2.5216406363433186,0,23,1
18,1,0,1,0,0,0,0,0,2.251629167387823,0,12,1
20,2,0,1,0,0,0,0,0,4.043018688767224,0,549,0
25,2,0,1,0,0,0,0,0,3.6460035979920757,0,806,0
20,2,0,1,0,0,0,0,0,3.1938272363676528,0,478,0
24,2,0,1,0,0,0,0,0,2.5216406363433186,0,26,1
37,2,1,1,0,0,0,0,0,2.321928094887362,0,28,1
28,1,0,1,0,0,0,0,0,2.4937448825435755,0,1343,0
34,2,0,1,0,0,0,0,0,2.534050655656922,0,101,0
15,1,0,1,0,0,1,0,0,3.2456546329698055,0,4383,0
30,1,0,1,1,0,0,1,0,3.4548223999466066,0,10,1
27,1,0,1,0,0,0,0,0,3.182005814760214,0,18,1
37,2,0,1,0,0,0,1,0,2.128085278891395,0,4,1
29,2,0,1,0,0,0,0,0,3.600780392043088,0,4469,0
37,2,0,1,0,0,0,0,0,2.842634692846094,0,689,0
25,3,0,1,0,0,0,0,0,3.1872061319665086,0,191,0
36,2,1,1,0,0,0,0,0,3.2261244870335055,0,1083,0
